Speaker, 1, 2, 3, 4, 5, 6, 7, 8, 9 
Distortion,0,2.77546e-319,0,0,0,0,2.77571e-319,0,2.04943e-319
Clarity,0,0,9.60019e-320,2.41282e-319,2.04968e-319,0,1.3234e-319,0,2.3394e-320
Separability,1.68674e-319,0,2.7764e-319,0,5.97375e-320,0,1.32385e-319,0,2.41351e-319
