Speaker, 1, 2, 3, 4, 5, 6, 7, 8, 9 
Distortion,0,0,0,0,0,0,0,0,0
Clarity,0,0,0,0,0,0,0,0,0
Separability,0,0,0,0,0,0,0,0,0
