Speaker, 1, 2, 3, 4, 5, 6, 7, 8, 9 
Distortion,0,0,0,32,0,0,18,0,0
Clarity,0,0,0,0,0,0,0,0,0
Separability0,0,0,0,0,39,0,0,0
